"HostID","2021-02-01","Total"
"420",735,735
"26",677,677
"90",672,672
"219",664,664
"52",662,662
"99",621,621
"15",600,600
"43",597,597
"415",565,565
"46",511,511
"33",481,481
"58",474,474
"451",428,428
"53",377,377
"68",375,375
"216",373,373
"421",363,363
"434",352,352
"87",352,352
"24",326,326
"408",317,317
"64",305,305
"20",285,285
"419",282,282
"448",280,280
"37",275,275
"412",274,274
"79",273,273
"413",255,255
"82",241,241
"49",217,217
"426",216,216
"215",205,205
"29",201,201
"422",194,194
"47",183,183
"217",180,180
"75",175,175
"66",151,151
"94",137,137
"84",130,130
"88",126,126
"459",97,97
"98",80,80
"80",79,79
"407",77,77
"65",65,65
"214",63,63
"35",63,63
"100",53,53
"71",53,53
"59",42,42
"51",26,26
"56",23,23
"2",21,21
"207",17,17
"449",17,17
"428",15,15
"40",12,12
"54",5,5
"18",3,3
"433",3,3
"97",3,3
"13",2,2
"435",2,2
"432",1,1
"457",1,1
"461",1,1
